Distributor Code,Distributor Name,Depot Name,Original Delivery,Original Delivery Day,Original Modified,Original Modified Day,Reason,Raised By
1426,SEEMA VARITIES STORES,D3A4 - Solapur,11/09/2023,Monday,NA,,Normal PDP,
1441,SRI VYJAYANTHI MARKETING(SD),D572 - Vijaywada,11/09/2023,Monday,NA,,Normal PDP,
1446,CHABRA MEDICAL AGENCIES,D117 - Zirakpur,11/09/2023,Monday,NA,,Normal PDP,
1467,MALLYA TRADERS,D676 - Coimbatore,11/09/2023,Monday,NA,,Normal PDP,
1535,Mamoni Enterprise.,D231 - Kolkata 1,11/09/2023,Monday,NA,,Normal PDP,
1594,PRAKASH & SONS(SD),D464 - Indore,11/09/2023,Monday,NA,,Normal PDP,
1647,SHUBHLAXMI SALES CORPORATION,D464 - Indore,11/09/2023,Monday,NA,,Normal PDP,
173,AMAN TRADERS,D234 - Ranchi,11/09/2023,Monday,NA,,Normal PDP,
1814,LAKSHMI AGENCIES ( Satanapalli ),D572 - Vijaywada,11/09/2023,Monday,NA,,Normal PDP,
1826,SANDEEP TRADERS,D464 - Indore,11/09/2023,Monday,NA,,Normal PDP,
1857,M.G.TRADING COMPANY,D314 - Jaipur,11/09/2023,Monday,NA,,Normal PDP,
187,RAMAKRISHNA AGENCIES,D572 - Vijaywada,11/09/2023,Monday,NA,,Normal PDP,
192,SRI KALYANI ENTERPRISES,D572 - Vijaywada,11/09/2023,Monday,NA,,Normal PDP,
203,KRISHNA KISHORE AGENCIES,D572 - Vijaywada,11/09/2023,Monday,NA,,Normal PDP,
206,GOWTHAMI AGENCIES,D572 - Vijaywada,11/09/2023,Monday,NA,,Normal PDP,
2071,"POOJA DISTRIBUTORS,",D356 - Bhiwandi 2,11/09/2023,Monday,NA,,Normal PDP,
2115,SRI TIRUMALA GENERAL & FANCY STORES,D530 - Hyderabad,11/09/2023,Monday,NA,,Normal PDP,
2225,H.L .AGARWAL & SONS,D248 - Nagpur II,11/09/2023,Monday,NA,,Normal PDP,
2252,SMRUTHI SALES,D673 - Bangalore,11/09/2023,Monday,NA,,Normal PDP,
2266,PUNJAB ENTERPRISES,D117 - Zirakpur,11/09/2023,Monday,NA,,Normal PDP,
2299,MAJEED ASSOCIATES,D676 - Coimbatore,11/09/2023,Monday,NA,,Normal PDP,
2376,SURABHI ASSOCIATES,D673 - Bangalore,11/09/2023,Monday,NA,,Normal PDP,
2405,M/s Harsha Agencies,D674 - Chennai,11/09/2023,Monday,NA,,Normal PDP,
2443,KRISHNA SALES AGENCY,D354 - Ahmedabad,11/09/2023,Monday,NA,,Normal PDP,
2541,SRI SRINIVASA AGENCIES,D530 - Hyderabad,11/09/2023,Monday,NA,,Normal PDP,
2578,DILEEP TRADERS,D314 - Jaipur,11/09/2023,Monday,NA,,Normal PDP,
2604,R. G. TRADERS,D248 - Nagpur II,11/09/2023,Monday,NA,,Normal PDP,
2639,M.S. AGENCIES,D530 - Hyderabad,11/09/2023,Monday,NA,,Normal PDP,
2667,FRIENDS ENTERPRISES,D535 - Cuttack,11/09/2023,Monday,NA,,Normal PDP,
