"TransactionID			",Report Type,Status,ProcessLog,RunDate
This Is Start Line,This Is Start Line,This Is Start Line,This Is Start Line,This Is Start Line
General,General,General,Output Report File Creation Completed,26-05-2023 03:23:46
General,General,General,Website Accessible,26-05-2023 03:23:53
General,General,Process,Dear Team,<br><br>Robot has started RPA Piramal Reports Automation.<br><br>Thanks and Regards,<br>
 RPA Team<br>-------------------------------------------------------------------<br>This is auto generated email, please do no reply on this email.,26-05-2023 03:25:16
General,General,General,Reading Config File....,26-05-2023 03:25:19
General,General,General,Config Data has been added to dictionary,26-05-2023 03:25:23
General,General,General,Total Number of Transaction to be Processed:3,26-05-2023 03:25:24
General,General,General,Folder is Created at location for output folder:Data\Output\26-05-2023\NCARD_16,26-05-2023 03:25:24
General,General,General,Output Report File Creation Completed,26-05-2023 03:25:25
General,General,General,Website Accessible,26-05-2023 03:25:28
TR-1,General,Process,Processing Transaction Number:1,26-05-2023 03:25:29
TR-1,General,Process,Transaction Started for Transaction ID:TR-1,26-05-2023 03:25:29
General,General,Process,Dear Team,<br><br>Robot has started RPA Piramal Reports Automation.<br><br>Thanks and Regards,<br>
 RPA Team<br>-------------------------------------------------------------------<br>This is auto generated email, please do no reply on this email.,26-05-2023 03:25:59
General,General,General,Reading Config File....,26-05-2023 03:26:02
General,General,General,Config Data has been added to dictionary,26-05-2023 03:26:05
General,General,General,Total Number of Transaction to be Processed:3,26-05-2023 03:26:06
General,General,General,Folder is Created at location for output folder:Data\Output\26-05-2023\NCARD_17,26-05-2023 03:26:06
General,General,General,Output Report File Creation Completed,26-05-2023 03:26:07
General,General,General,Website Accessible,26-05-2023 03:26:10
TR-1,General,Process,Processing Transaction Number:1,26-05-2023 03:26:11
TR-1,General,Process,Transaction Started for Transaction ID:TR-1,26-05-2023 03:26:11
General,General,Process,Dear Team,<br><br>Robot has started RPA Piramal Reports Automation.<br><br>Thanks and Regards,<br>
 RPA Team<br>-------------------------------------------------------------------<br>This is auto generated email, please do no reply on this email.,26-05-2023 03:26:49
General,General,General,Reading Config File....,26-05-2023 03:26:52
General,General,General,Config Data has been added to dictionary,26-05-2023 03:26:55
General,General,General,Total Number of Transaction to be Processed:3,26-05-2023 03:26:56
General,General,General,Folder is Created at location for output folder:Data\Output\26-05-2023\NCARD_18,26-05-2023 03:26:56
General,General,General,Output Report File Creation Completed,26-05-2023 03:26:57
General,General,General,Website Accessible,26-05-2023 03:27:00
TR-1,General,Process,Processing Transaction Number:1,26-05-2023 03:27:01
TR-1,General,Process,Transaction Started for Transaction ID:TR-1,26-05-2023 03:27:01
TR-2,General,Process,Processing Transaction Number:2,26-05-2023 03:27:14
TR-2,General,Process,Transaction Started for Transaction ID:TR-2,26-05-2023 03:27:14
TR-3,General,Process,Processing Transaction Number:3,26-05-2023 03:28:26
TR-3,General,Process,Transaction Started for Transaction ID:TR-3,26-05-2023 03:28:26
General,General,Process,Dear Team,<br><br>Robot has started RPA Piramal Reports Automation.<br><br>Thanks and Regards,<br>
